state,district,enrol_total_vol,enrol_stability,bio_total_vol,bio_stability,demo_total_vol,enrol_child_sum,bio_child_sum,health_index,cluster,risk_category
Andaman And Nicobar Islands,Nicobar,11.0,1.6054154855881448,1811.0,6.5976134606736405,787.0,11.0,992.0,5.823673626476724,1,Critical Risk
Rajasthan,Chittaurgarh,71.0,3.610538193075523,2238.0,6.505795265371628,2065.0,70.0,569.0,5.9170539799148,1,Critical Risk
Andhra Pradesh,Nizamabad,71.0,2.4434007258134276,10979.0,6.921134798003208,5541.0,71.0,3452.0,5.976457635921971,1,Critical Risk
Maharashtra,Bid,129.0,3.2654764421679427,9892.0,7.803366602310075,11918.0,129.0,538.0,6.0058738679405925,1,Critical Risk
Uttar Pradesh,Shravasti,1668.0,3.342233095538745,0.0,0.0,0.0,1570.0,0.0,6.043640430685076,1,Critical Risk
Sikkim,South Sikkim,272.0,3.7317011746496256,2053.0,6.054430297556783,1409.0,247.0,1299.0,6.072012597035603,1,Critical Risk
Andhra Pradesh,Mahbubnagar,211.0,3.112083190458876,14739.0,7.522150069225686,9897.0,211.0,3060.0,6.12299194541941,1,Critical Risk
Pondicherry,Yanam,2.0,4.014916240907944,122.0,8.653546579124534,228.0,2.0,5.0,6.132274044188948,1,Critical Risk
West Bangal,Howrah,2.0,4.0682706973718075,19.0,6.921447358086534,51.0,2.0,5.0,6.199750187803523,1,Critical Risk
West Bengal,MALDA,1.0,3.9879456798407134,41.0,7.530949470259894,88.0,1.0,6.0,6.210903673278077,1,Critical Risk
Karnataka,Bengaluru South,188.0,3.919879188479257,146.0,6.972705923295781,3714.0,183.0,23.0,6.244893212456988,1,Critical Risk
Sikkim,North Sikkim,17.0,3.2376560918281165,918.0,6.423250538212751,446.0,17.0,636.0,6.2905024068630215,1,Critical Risk
Dadra And Nagar Haveli And Daman And Diu,Daman,14.0,3.184690423522896,521.0,7.632347515105107,1687.0,5.0,190.0,6.3083787146845705,1,Critical Risk
West Bengal,North Twenty Four Parganas,401.0,2.9191945742861325,14653.0,6.766739878526983,19735.0,399.0,2855.0,6.321527444821958,1,Critical Risk
Chhattisgarh,Sarangarh-Bilaigarh,27.0,3.7475403563891603,1043.0,7.4660578308601355,8055.0,24.0,113.0,6.349109014536558,1,Critical Risk
Meghalaya,North Garo Hills,2612.0,2.9721710848651406,1243.0,4.204092471852289,3832.0,1854.0,816.0,6.350380517365045,1,Critical Risk
Meghalaya,Eastern West Khasi Hills,815.0,3.936325807032487,8.0,2.464645887379912,306.0,226.0,2.0,6.428315384390923,1,Critical Risk
Sikkim,North,10.0,3.889890103840129,307.0,6.60581906849099,443.0,10.0,152.0,6.435867046671529,1,Critical Risk
Karnataka,Hasan,49.0,2.744213253256085,9682.0,7.4403249135895795,8568.0,49.0,2167.0,6.436946950190231,1,Critical Risk
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,4.0,4.061880504726652,67.0,5.532815949686732,181.0,4.0,36.0,6.441099732825448,1,Critical Risk
West Bengal,Bardhaman,431.0,2.849813222115052,14175.0,6.411777618612765,23249.0,428.0,2974.0,6.453609837404516,1,Critical Risk
Arunachal Pradesh,Upper Siang,22.0,2.7934539032632655,1796.0,7.11803872055335,1321.0,21.0,1235.0,6.485371644201014,1,Critical Risk
Jharkhand,Hazaribag,208.0,3.591936351318142,7734.0,5.69975642676627,9726.0,208.0,1605.0,6.511807653377111,1,Critical Risk
Madhya Pradesh,Narmadapuram,129.0,3.672398419699444,6850.0,5.52756709608518,5909.0,100.0,1420.0,6.565791427457356,1,Critical Risk
Punjab,Firozpur,48.0,2.9895863036556016,11480.0,7.446711439039212,6524.0,48.0,1965.0,6.56605688396556,1,Critical Risk
Maharashtra,Chhatrapati Sambhajinagar,599.0,3.4066799965845034,4867.0,5.726046407468151,14738.0,365.0,842.0,6.575630409088454,1,Critical Risk
Odisha,Khordha,208.0,3.3798333817681283,22624.0,7.775384351309266,8656.0,195.0,3540.0,6.651797161167022,1,Critical Risk
Odisha,Sundargarh,123.0,3.2903055210740826,16187.0,7.4491820808553415,7660.0,123.0,3322.0,6.666604193891747,1,Critical Risk
Uttar Pradesh,Barabanki,974.0,3.8045384001456335,4224.0,6.183871526716217,4960.0,922.0,789.0,6.704678059147244,1,Critical Risk
Andhra Pradesh,Bapatla,71.0,2.084679139224478,5982.0,6.455261472115578,13514.0,55.0,3899.0,6.737190414695206,1,Critical Risk
West Bengal,Purba Bardhaman,518.0,2.8159381682812743,12845.0,5.794033020406211,24451.0,390.0,5236.0,6.762397017152722,1,Critical Risk
Odisha,Jagatsinghpur,68.0,3.156717918714026,12093.0,7.617868958490114,5173.0,68.0,2860.0,6.7881060961249,1,Critical Risk
Tamil Nadu,Mayiladuthurai,65.0,3.0136277408863914,4309.0,6.819181046953591,3602.0,64.0,3442.0,6.829034858146945,1,Critical Risk
Gujarat,Ahmadabad,2562.0,3.0675844478750403,15682.0,6.843791716312537,7760.0,2322.0,958.0,6.855763915936574,1,Critical Risk
Meghalaya,South West Garo Hills,2539.0,3.145959108311391,4915.0,8.741318379058553,7182.0,1656.0,2485.0,6.85925735578192,1,Critical Risk
Assam,Dima Hasao,131.0,4.511211750020901,25.0,6.149197184053383,280.0,103.0,11.0,6.870239730366497,2,Moderate
West Bengal,Paschim Bardhaman,411.0,3.3409820453605605,10105.0,6.384856089404263,16681.0,318.0,3659.0,6.878552984845267,1,Critical Risk
Nagaland,Chumukedima,147.0,4.395572236263697,651.0,5.504348872732446,1837.0,97.0,245.0,6.904038993611837,1,Critical Risk
Mizoram,Saiha,283.0,3.772412149409464,5756.0,5.256338351176838,1851.0,181.0,4477.0,6.9253063644159605,1,Critical Risk
Puducherry,Yanam,1.0,3.4604203085127514,101.0,8.381696559548022,85.0,1.0,48.0,6.9755453503960005,1,Critical Risk
Karnataka,yadgir,116.0,4.318733785650057,4281.0,7.420651596356523,2099.0,116.0,856.0,7.0010380047302725,1,Critical Risk
Ladakh,Leh,24.0,2.4340024792019967,2821.0,6.067112538512882,3246.0,13.0,1098.0,7.033149867066407,1,Critical Risk
Jammu And Kashmir,Badgam,191.0,3.3864016029546016,14131.0,7.570502783290576,12114.0,190.0,4697.0,7.0398047583179135,1,Critical Risk
Madhya Pradesh,Maihar,40.0,4.300715383653693,1521.0,8.066831809674625,4017.0,20.0,196.0,7.115927433304971,1,Critical Risk
Sikkim,South,109.0,4.293401271809111,3050.0,6.123634462549411,3739.0,108.0,1018.0,7.130074905472074,1,Critical Risk
Madhya Pradesh,Mauganj,59.0,4.509047470387715,1061.0,7.79935621193356,4086.0,58.0,83.0,7.1303396508762535,2,Moderate
West Bengal,Purulia,244.0,4.212237363211405,3875.0,5.7158754388030975,7309.0,243.0,979.0,7.133155004590268,1,Critical Risk
Madhya Pradesh,Niwari,25.0,2.817587843949568,2295.0,5.5291282431667295,1739.0,16.0,1194.0,7.141266259694606,1,Critical Risk
Punjab,S.A.S Nagar,212.0,4.697669611076962,0.0,0.0,0.0,164.0,0.0,7.1774526461861345,2,Moderate
Gujarat,Dang,341.0,4.6481722529554546,0.0,0.0,0.0,179.0,0.0,7.182887371336983,2,Moderate
Manipur,Pherzawl,10.0,4.780192766859666,2.0,6.666666666666667,176.0,10.0,2.0,7.195403345189347,2,Moderate
Andhra Pradesh,Medak,230.0,3.3706515434985698,22445.0,7.189155986938215,12963.0,229.0,6281.0,7.275088731090551,1,Critical Risk
Arunachal Pradesh,Tirap,40.0,3.916942106067934,1893.0,7.034946351151356,990.0,39.0,1371.0,7.284859638211024,1,Critical Risk
Andhra Pradesh,Mahabub Nagar,432.0,3.9855302643219592,13852.0,8.499568785477338,12813.0,432.0,822.0,7.285301981859625,1,Critical Risk
Telangana,Warangal Urban,78.0,2.5157710278291048,8583.0,7.403757188508815,15578.0,72.0,4643.0,7.310655901770198,1,Critical Risk
Nagaland,Tuensang,1067.0,4.121828514440958,9708.0,7.396598639940789,4239.0,983.0,2650.0,7.3111863885660116,2,Moderate
Assam,North Cachar Hills,557.0,4.317117267532682,4024.0,7.671193766766544,3599.0,420.0,2782.0,7.338690445960647,2,Moderate
Himachal Pradesh,Kinnaur,26.0,2.2099758826905265,4467.0,7.31611210268413,1169.0,21.0,2221.0,7.367052899055321,1,Critical Risk
Tamil Nadu,Chengalpattu,391.0,3.482992203863162,6248.0,7.081943068043901,21533.0,319.0,3965.0,7.3940764736544,1,Critical Risk
West Bengal,Kalimpong,337.0,4.632397367700286,723.0,6.665056016438131,2381.0,184.0,442.0,7.408322033588632,2,Moderate
Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli,18.0,3.4927837981444996,1978.0,5.864609358544073,1689.0,10.0,550.0,7.41660086307087,1,Critical Risk
West Bengal,West Midnapore,543.0,3.0929820632157994,18978.0,5.516772474001816,30680.0,540.0,4390.0,7.462956305766364,1,Critical Risk
West Bengal,KOLKATA,1.0,5.0,2.0,0.875036829088818,23.0,1.0,1.0,7.539178004962569,2,Moderate
Meghalaya,South West Khasi Hills,2657.0,3.7151492697876223,3432.0,6.219074099974886,4740.0,1543.0,1894.0,7.602000315040719,2,Moderate
Arunachal Pradesh,Lohit,64.0,4.24904124514846,3891.0,6.1401305280230165,1866.0,63.0,1796.0,7.62797504648066,1,Critical Risk
Assam,Tamulpur District,33.0,5.008833694788598,70.0,5.044119672819149,1268.0,33.0,17.0,7.636310447490197,2,Moderate
Jharkhand,Purbi Singhbhum,172.0,4.127251712289914,20559.0,6.669712087952745,4866.0,172.0,3984.0,7.668695464280084,1,Critical Risk
Manipur,Chandel,515.0,4.248558170704577,8683.0,7.256256097795368,8989.0,510.0,4719.0,7.70409861926564,2,Moderate
Andhra Pradesh,Eluru,61.0,1.9723366343514086,8230.0,5.797928798502735,17584.0,45.0,4288.0,7.753690494077706,1,Critical Risk
West Bengal,East Midnapore,322.0,3.1918756890869004,26698.0,6.299028535314228,25247.0,318.0,7721.0,7.791000724441052,1,Critical Risk
Telangana,Medchal−malkajgiri,90.0,4.128482914290739,4613.0,8.032458205114551,1677.0,88.0,3466.0,7.860604406167959,1,Critical Risk
Madhya Pradesh,West Nimar,142.0,4.596366993221876,9818.0,6.843922789288719,2059.0,136.0,2548.0,7.904160699236935,2,Moderate
Karnataka,Vijayanagara,297.0,3.805929649365844,19948.0,5.697649967134185,14692.0,241.0,5607.0,7.9045725270313945,1,Critical Risk
Nagaland,Zunheboto,630.0,4.798863293301188,7963.0,6.7045632212183275,2439.0,583.0,1477.0,7.916483491812793,2,Moderate
Telangana,Hanumakonda,114.0,3.9559451330040316,9017.0,7.184020548598202,18975.0,109.0,1831.0,7.953233964866693,1,Critical Risk
Maharashtra,Raigad,848.0,2.9586738340166976,14025.0,6.498729489426699,42361.0,743.0,4153.0,8.07269742281809,1,Critical Risk
Odisha,Baleshwar,251.0,3.957462000285078,24836.0,7.839486257843341,12287.0,251.0,6562.0,8.099218219313604,1,Critical Risk
Gujarat,Banas Kantha,7501.0,2.3273425108289834,547.0,6.950636790057268,473.0,6719.0,59.0,8.16069490777159,2,Moderate
Odisha,Subarnapur,60.0,4.423985586256628,6505.0,6.494050190204351,4360.0,60.0,1914.0,8.201518429722078,1,Critical Risk
NCT Of Delhi,New Delhi,719.0,4.877488664177396,4563.0,3.1554105126396834,4061.0,502.0,2501.0,8.25384693772439,2,Moderate
Chhattisgarh,Khairagarh Chhuikhadan Gandai,63.0,5.255670501506678,1035.0,4.782835241688998,6103.0,63.0,132.0,8.40901623126125,2,Moderate
Mizoram,Champhai,360.0,4.019385399115553,15968.0,5.475277144844477,6469.0,269.0,11652.0,8.430631697106215,1,Critical Risk
Sikkim,West Sikkim,295.0,5.217378294825784,3291.0,6.625356747157905,2021.0,256.0,2262.0,8.499005841139766,2,Moderate
Andhra Pradesh,Palnadu,101.0,2.527007234175489,10053.0,6.329172432211622,25495.0,76.0,6007.0,8.543308789610428,1,Critical Risk
Jharkhand,Khunti,1218.0,3.670071558239408,42955.0,6.319305872962638,21421.0,1173.0,15296.0,8.54976087971461,1,Critical Risk
Andhra Pradesh,Alluri Sitharama Raju,150.0,3.1794816118300058,18607.0,6.1249747283469365,12871.0,116.0,8438.0,8.574691719579333,1,Critical Risk
Madhya Pradesh,Harda *,107.0,5.062054130097188,10172.0,7.713778845936731,2094.0,107.0,2126.0,8.628721988733224,2,Moderate
Assam,Chirang,1335.0,4.050703659883448,27087.0,6.708523501731789,13397.0,1071.0,18078.0,8.659536392734049,2,Moderate
Jharkhand,Lohardaga,975.0,3.9941778406800768,39196.0,7.079259641485395,17419.0,919.0,13862.0,8.664038645947688,2,Moderate
Andhra Pradesh,Y. S. R,85.0,2.005167255943248,8608.0,6.371214693396623,28186.0,52.0,5183.0,8.677136747569246,1,Critical Risk
Assam,Udalguri,1907.0,3.7571753077728904,22348.0,5.416416765750967,19780.0,1322.0,12995.0,8.683872965871753,2,Moderate
Arunachal Pradesh,Changlang,317.0,4.928313229184935,8183.0,7.547257264089213,5659.0,304.0,5436.0,8.698463634299104,2,Moderate
Telangana,Peddapalli,75.0,4.4855982689153215,6427.0,7.437206960838424,9927.0,72.0,2370.0,8.704215344429027,2,Moderate
Maharashtra,Buldana,112.0,3.8551978202444652,35737.0,7.883228266837276,22941.0,112.0,3169.0,8.740075298458692,1,Critical Risk
Karnataka,Shimoga,149.0,3.6882338669258714,26849.0,7.053809804383339,15514.0,149.0,7443.0,8.744402236183813,1,Critical Risk
Gujarat,Botad,645.0,4.604002046263696,16256.0,6.489688190187923,7545.0,474.0,10356.0,8.761600507890622,2,Moderate
Nagaland,Meluri,15.0,5.537125177762578,865.0,8.512861901441331,96.0,13.0,160.0,8.785295236881241,2,Moderate
Nagaland,Mokokchung,358.0,5.39712401483526,8545.0,6.68125012638731,2696.0,315.0,2120.0,8.823640667900714,2,Moderate
Nagaland,Kohima,1059.0,5.139970308850563,13953.0,7.822425204665031,3308.0,952.0,3226.0,8.838582423161705,2,Moderate
Karnataka,Chickmagalur,102.0,3.6156643740419736,21919.0,7.226473015598973,10484.0,102.0,6808.0,8.852600601512375,1,Critical Risk
Telangana,Jayashankar Bhupalpally,177.0,4.822911762805927,4568.0,7.657436694108668,16261.0,173.0,2077.0,8.895303336204066,2,Moderate
West Bengal,Alipurduar,2152.0,4.471847974285972,7625.0,6.526002421587801,10834.0,1714.0,3735.0,8.898793534242063,2,Moderate
Arunachal Pradesh,East Siang,88.0,5.128442267329493,3321.0,8.768387028534733,2503.0,86.0,2242.0,8.907841528452666,2,Moderate
Sikkim,East Sikkim,155.0,5.23320753657985,4089.0,6.222656227607611,3513.0,136.0,2607.0,8.92415264071873,2,Moderate
Odisha,ANUGUL,1.0,3.9879456798407134,245.0,6.3905070197229,145.0,1.0,80.0,8.957311719223886,1,Critical Risk
Andhra Pradesh,Sri Potti Sriramulu Nellore,925.0,4.301823129267789,10135.0,6.345443761886241,22065.0,622.0,6668.0,8.960606270111052,2,Moderate
Arunachal Pradesh,Lower Subansiri,55.0,5.184742633648369,2680.0,8.07384063831802,1521.0,55.0,1530.0,8.966345079448102,2,Moderate
Chhattisgarh,Gariyaband,235.0,2.528278781743739,52088.0,7.016085556329481,27599.0,229.0,16883.0,8.968361832948133,1,Critical Risk
Chhattisgarh,Uttar Bastar Kanker,170.0,4.053763033526642,30301.0,7.440464624832069,13568.0,162.0,7038.0,8.970150537415236,1,Critical Risk
Arunachal Pradesh,West Kameng,121.0,5.128506251435485,6172.0,7.56950713702146,1859.0,103.0,2967.0,9.014639689559742,2,Moderate
Meghalaya,East Garo Hills,5040.0,3.6550087389019694,2724.0,5.409353972871114,6345.0,3366.0,975.0,9.047229382600754,2,Moderate
Arunachal Pradesh,Kamle,27.0,5.951780454644222,143.0,5.538370284078227,318.0,25.0,57.0,9.050950152876998,2,Moderate
Nagaland,Peren,943.0,5.503103083388614,4584.0,6.5979548240465755,1804.0,843.0,1819.0,9.078609698105957,2,Moderate
Gujarat,Devbhumi Dwarka,645.0,4.320873174120074,25464.0,6.606931874988929,6586.0,422.0,17817.0,9.11624988717894,2,Moderate
Mizoram,Lunglei,185.0,3.4046054616929786,15289.0,5.049421292070252,7323.0,116.0,10249.0,9.117821401904749,1,Critical Risk
Jharkhand,Seraikela-kharsawan,316.0,5.408392045966981,14414.0,6.690819598737043,5962.0,316.0,2760.0,9.158223529992519,2,Moderate
Madhya Pradesh,Burhanpur,3147.0,3.325234173423211,74141.0,6.444710230159535,16543.0,2759.0,33915.0,9.173754131627263,2,Moderate
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,47.0,1.8635116861333922,7306.0,6.85899126257194,14156.0,30.0,4352.0,9.192440639901559,1,Critical Risk
Tamil Nadu,Tenkasi,118.0,4.004397891420197,10203.0,7.650577461461585,10020.0,118.0,7560.0,9.204699524122658,1,Critical Risk
Uttar Pradesh,Ayodhya,666.0,5.02019742484401,7391.0,6.721343772559799,15277.0,634.0,3617.0,9.222397002431531,2,Moderate
Chhattisgarh,Dantewada,126.0,4.877070662088695,18928.0,5.973566554251409,2398.0,126.0,5327.0,9.29605281253302,2,Moderate
Assam,West Karbi Anglong,1494.0,5.474443596163378,3392.0,4.2603304708621295,1451.0,987.0,1084.0,9.302302814144387,2,Moderate
Assam,Dhemaji,3037.0,3.6828625410538125,20730.0,6.547442963986434,22349.0,1846.0,12494.0,9.309627388218116,2,Moderate
Assam,Sibsagar,1176.0,4.6978743353447445,11380.0,6.949880223755404,13070.0,514.0,8287.0,9.333339789682963,2,Moderate
Telangana,Mulugu,237.0,5.377744681849693,5387.0,6.656690006232171,11698.0,233.0,2353.0,9.40333217941582,2,Moderate
Telangana,Warangal Rural,72.0,4.1265268612554085,7169.0,6.934314070651609,17700.0,70.0,3736.0,9.43677219799072,1,Critical Risk
Madhya Pradesh,Ashoknagar,1417.0,5.740156683940206,0.0,0.0,0.0,1323.0,0.0,9.485488050918194,2,Moderate
Chhattisgarh,Gaurela-pendra-marwahi,25.0,5.322231445457022,2289.0,7.024183311221658,3425.0,20.0,679.0,9.501963014130423,2,Moderate
Arunachal Pradesh,Siang,64.0,5.905850198295642,1309.0,7.680607018362755,777.0,60.0,880.0,9.504779008239812,2,Moderate
Telangana,Narayanpet,228.0,5.163349858935813,6287.0,7.154066846771406,16732.0,224.0,2929.0,9.524242527165132,2,Moderate
Odisha,Jajpur,7.0,6.05380712407912,286.0,5.888154805604205,235.0,7.0,85.0,9.552858511781265,2,Moderate
Assam,Baksa,1579.0,4.6267875426558485,17455.0,6.906396925563326,17012.0,1179.0,11602.0,9.558538580306553,2,Moderate
Andhra Pradesh,Tirupati,917.0,4.303018786785655,10398.0,6.171383481407151,33230.0,689.0,5633.0,9.595939814878642,2,Moderate
Jammu And Kashmir,Reasi,579.0,5.1143001673334005,23240.0,7.274157014287289,8400.0,570.0,12538.0,9.614089684725755,2,Moderate
Sikkim,West,116.0,5.890507172450439,3584.0,5.041989546217692,2553.0,111.0,1530.0,9.618967867846541,2,Moderate
Telangana,Rangareddy,63.0,5.802403242001925,2786.0,7.358591031924455,5562.0,61.0,878.0,9.665867074236832,2,Moderate
Andhra Pradesh,Rangareddi,405.0,4.165072852139333,54587.0,7.8653136487736415,22245.0,405.0,13261.0,9.684306253157779,2,Moderate
Nagaland,Dimapur,2078.0,4.9890832609618405,25223.0,7.910298448811318,8215.0,1802.0,9331.0,9.736016802133177,2,Moderate
Manipur,Kakching,70.0,5.832085606949236,2047.0,6.96095822529925,3325.0,69.0,1363.0,9.759907246679038,2,Moderate
Nagaland,Phek,734.0,6.0513433722983665,8758.0,7.193022807663273,1468.0,695.0,1620.0,9.795992997127833,2,Moderate
NCT Of Delhi,Najafgarh,9.0,6.37501373929459,845.0,6.934282637980944,195.0,9.0,51.0,9.798742876487193,2,Moderate
Assam,Majuli,168.0,5.966078079223937,3382.0,7.092793718140501,3281.0,157.0,2139.0,9.804226491825558,2,Moderate
Karnataka,Chikkamagaluru,133.0,3.4962100052692815,15176.0,6.846673825409294,11089.0,95.0,9401.0,9.861100509085682,1,Critical Risk
Jammu And Kashmir,Shupiyan,129.0,4.283873374456441,15529.0,7.414696255993263,8207.0,128.0,9253.0,9.86725394420431,1,Critical Risk
Gujarat,Chhotaudepur,1892.0,4.821421894935227,33802.0,7.035027220440966,9631.0,1303.0,18603.0,9.880800173705598,2,Moderate
Assam,Jorhat,1982.0,4.609879456137593,16279.0,6.993974952270939,19788.0,1122.0,10704.0,9.941354167856305,2,Moderate
Telangana,Jagitial,107.0,4.14430586255422,10745.0,7.701135518748653,16299.0,98.0,6634.0,9.95788577951487,1,Critical Risk
Pondicherry,Pondicherry,69.0,4.376118815975757,24718.0,7.736015133614685,6327.0,69.0,5050.0,9.966267162512782,1,Critical Risk
Sikkim,East,155.0,5.897824558391516,5523.0,6.38155347563798,5867.0,153.0,2428.0,9.966453523898226,2,Moderate
Assam,Charaideo,530.0,5.4995012588002465,8293.0,7.516876994043016,9913.0,336.0,6096.0,9.975759678493556,2,Moderate
Odisha,Debagarh,100.0,3.9726865607234436,16252.0,8.43050714511449,7989.0,95.0,8408.0,9.975776289778088,1,Critical Risk
Andhra Pradesh,Sri Sathya Sai,59.0,2.0832526287321786,10415.0,6.7158534750153835,22107.0,40.0,5704.0,9.98768302070406,1,Critical Risk
Telangana,Rajanna Sircilla,54.0,3.9882435241274288,8085.0,7.746625050790557,11165.0,51.0,4367.0,9.99419415938126,1,Critical Risk
Tripura,Sepahijala,607.0,5.037005173038842,19625.0,5.880480021569742,15325.0,577.0,13756.0,10.002292468463116,2,Moderate
Nagaland,Longleng,684.0,6.315167052343011,2674.0,5.693655400792099,820.0,636.0,671.0,10.013370128200107,2,Moderate
Telangana,Jangoan,130.0,5.110675207511859,7279.0,7.43954277202383,16900.0,130.0,3951.0,10.046464740527137,2,Moderate
Mizoram,Mammit,8.0,1.3578636146503043,2857.0,4.432792029993864,636.0,8.0,1723.0,10.087345169969126,1,Critical Risk
Punjab,Kapurthala,1659.0,4.096790907457909,54103.0,7.09090362879047,13872.0,446.0,18246.0,10.10671729227037,2,Moderate
Ladakh,Kargil,127.0,6.230373514619344,2942.0,6.960159431255451,2489.0,120.0,1711.0,10.142848811495972,2,Moderate
Chhattisgarh,Sakti,82.0,6.084488396823087,4024.0,6.2774541332945555,9685.0,80.0,644.0,10.14721500768591,2,Moderate
Madhya Pradesh,Narsimhapur,223.0,6.129776967291007,10348.0,7.537399665733965,4286.0,223.0,2685.0,10.157038655937766,2,Moderate
Chhattisgarh,Dakshin Bastar Dantewada,196.0,5.114300905845242,27211.0,7.494695853008165,5896.0,172.0,8064.0,10.173248945900704,2,Moderate
Arunachal Pradesh,Lower Siang,21.0,6.266939502688682,413.0,7.330371201111864,339.0,18.0,359.0,10.178161541578142,2,Moderate
NCT Of Delhi,South East Delhi,14.0,6.0799305450292485,582.0,7.006795337908775,1169.0,9.0,239.0,10.194071597605424,2,Moderate
Himachal Pradesh,Kullu,217.0,3.616245506037,21248.0,7.461384473861921,9602.0,111.0,11409.0,10.19520717070409,1,Critical Risk
Madhya Pradesh,Umaria,940.0,4.338412307428217,39261.0,6.404340714068224,29625.0,906.0,19901.0,10.212590249496493,2,Moderate
Arunachal Pradesh,Anjaw,14.0,5.249981115602054,1171.0,7.619848318205822,760.0,11.0,675.0,10.21718501572483,2,Moderate
Andhra Pradesh,Parvathipuram Manyam,44.0,2.8577609714243217,10630.0,6.503738223571937,9391.0,36.0,5090.0,10.265700580026335,1,Critical Risk
Jammu And Kashmir,Kishtwar,211.0,5.063219694869348,20920.0,7.052024669913746,5868.0,205.0,10878.0,10.273133375666871,2,Moderate
West Bengal,Maldah,566.0,5.408904159946673,14176.0,7.329691584104493,22566.0,566.0,3369.0,10.29407212945971,2,Moderate
Kerala,Pathanamthitta,553.0,4.32297563980115,59370.0,7.1340206934548425,21035.0,480.0,20056.0,10.313728036371876,2,Moderate
Andhra Pradesh,Nalgonda,216.0,4.635656228470899,32653.0,8.200009150769729,29844.0,216.0,5640.0,10.316290766607663,2,Moderate
Mizoram,Lawngtlai,478.0,5.825048211934235,13430.0,6.536482455531822,4395.0,381.0,8990.0,10.321861230842998,2,Moderate
Uttarakhand,Uttarkashi,154.0,3.964924020411907,24468.0,7.818787494919605,10021.0,149.0,13663.0,10.326740798201039,1,Critical Risk
Arunachal Pradesh,West Siang,82.0,5.637289980134983,4646.0,7.994880058640217,3552.0,80.0,3345.0,10.33167526417538,2,Moderate
Nagaland,Niuland,17.0,6.6886803308131135,285.0,4.1343215938382505,373.0,15.0,110.0,10.342230755154361,2,Moderate
Andhra Pradesh,Kakinada,111.0,3.474249475891344,11698.0,7.008898984407989,28269.0,84.0,7141.0,10.388616856117839,1,Critical Risk
Gujarat,Gir Somnath,1348.0,5.0777140990130745,36766.0,7.096474370198966,12066.0,975.0,23900.0,10.495756968688648,2,Moderate
Uttar Pradesh,Prayagraj,1437.0,4.807979242912634,20223.0,5.774732552851534,29027.0,1255.0,10696.0,10.505940781621556,2,Moderate
Assam,Biswanath,540.0,5.9158325106717635,9548.0,7.424846909399222,11025.0,464.0,6159.0,10.510753492715388,2,Moderate
Gujarat,Porbandar,513.0,4.920101577266771,30985.0,7.381220323857361,14623.0,332.0,14257.0,10.538445061654249,2,Moderate
Andhra Pradesh,Warangal,201.0,3.4589110506973606,51758.0,7.768982617117947,34766.0,201.0,13746.0,10.611256620391602,1,Critical Risk
Uttar Pradesh,Hapur,2812.0,3.2930638965167702,56755.0,6.812531266994461,44282.0,2771.0,39349.0,10.638175870229643,2,Moderate
Assam,Nalbari,1172.0,5.246310217247589,20251.0,6.560304223169469,20961.0,977.0,14657.0,10.712451034924769,2,Moderate
Mizoram,Kolasib,86.0,2.9804574506496486,10931.0,5.302188755972597,3867.0,51.0,8032.0,10.713606501284593,1,Critical Risk
Manipur,Senapati,737.0,5.152035552921588,22596.0,6.791555422773839,25510.0,721.0,12619.0,10.71475396492948,2,Moderate
Gujarat,Morbi,2456.0,4.772912100691757,31879.0,6.0746938127006995,19799.0,1803.0,21440.0,10.714784940289473,2,Moderate
Bihar,Pashchim Champaran,11299.0,2.4502882785457745,353.0,6.952975535674794,1120.0,10737.0,40.0,10.731347844619384,2,Moderate
Andhra Pradesh,Adilabad,282.0,4.381972437086518,52038.0,7.653050010085963,29291.0,281.0,12208.0,10.766636890434876,2,Moderate
Chhattisgarh,Sukma,923.0,5.638775442913891,30139.0,6.687436981227686,12746.0,804.0,13922.0,10.789757809304465,2,Moderate
Manipur,Ukhrul,438.0,5.923563413169735,13690.0,6.806645344916535,15176.0,424.0,6363.0,10.834409967665021,2,Moderate
Telangana,Nagarkurnool,284.0,5.543162413281464,12454.0,7.530114265343529,20170.0,282.0,7210.0,10.87468174579207,2,Moderate
Arunachal Pradesh,Kurung Kumey,56.0,6.464272603525783,3390.0,7.374362455041699,335.0,44.0,1299.0,10.878570372944772,2,Moderate
Andhra Pradesh,Nandyal,45.0,1.980793828174896,10640.0,6.859197279370508,27385.0,39.0,6337.0,10.909246786137654,1,Critical Risk
Punjab,Fatehgarh Sahib,157.0,3.339753259782615,37399.0,6.625996306987942,15346.0,144.0,17318.0,10.920034547612545,1,Critical Risk
Jammu And Kashmir,Kulgam,241.0,4.9516429898545535,25744.0,7.204956915741687,12407.0,232.0,14367.0,10.926100493559208,2,Moderate
Madhya Pradesh,Hoshangabad,824.0,4.420933889777656,97056.0,6.860345785700525,12403.0,812.0,45218.0,10.936714581054952,2,Moderate
NCT Of Delhi,Shahdara,579.0,5.64357217306962,7963.0,6.592412172534708,28544.0,515.0,2658.0,10.956719712706729,2,Moderate
Gujarat,Mahisagar,527.0,5.442816588391789,30952.0,6.74633149689331,7507.0,397.0,18042.0,10.958148289922013,2,Moderate
